activityTags,city,id,isticket,date,place,tel,posi
0,成都,2019FeelFine演唱会Fine乐团成都,售票中,2019.12.14周六,梵木创艺区·正火艺术中心1号馆,61385,104.148562,30.622391
0,成都,「你还好吗」陈楚生2019—2020巡回演唱会成都站,售票中,2020.02.14周五20:00,世外桃源大剧院,57802,104.076035,30.628669
0,成都,艾热《AirPlan》中国巡回演唱会-成都站,售票中,2019.12.27周五20:00,梵木创艺区·正火艺术中心1号馆,61385,104.148562,30.622391
0,成都,「云霄飞车迎新春」落日飞车新年巡回演唱会-成都站,售票中,2019.12.27周五19:30,华熙LIVE·528M空间,999011,
0,成都,2019WR/OC潮流音乐节成都站,售票中,2019.12.13-12.14,MAOlivehouse成都,2266025,
0,成都,2020成都跨年倒计时重磅活动-超级枕头大战,售票中,2019.12.31周二,新星(中国)音乐梦工厂,91779,
0,成都,2019-2020跨年倒计时重磅活动—超模DJ巡演荧光派对,售票中,2019.12.31周二,乐空间YueSpace(原正火艺术中心6号馆),92886,
0,成都,2019圣诞节平安夜重磅活动-超级枕头大战,售票中,2019.12.24周二,乐空间YueSpace(原正火艺术中心6号馆),92886,
0,成都,2019FlowXHipHopLive说唱专场,售票中,2019.12.07周六23:30,FlowXHipHopLive,2510005,
0,成都,2019圣诞节“致爱情”0,售票中,2019.12.21周六19:30,乐空间YueSpace(原正火艺术中心6号馆),92886,
0,成都,真的爱你-2019致敬BEYOND·黄家驹0,售票中,2020.01.10周五19:30,乐空间YueSpace(原正火艺术中心6号馆),92886,
0,成都,「如约·天真无邪」栗先达2019巡演成都站售票中,2019.12.13周五20:00,成都NUSPACE,968009,
0,成都,麻辣·城市狂欢之夜,售票中,2019.12.14-12.15,城市之音·不凡现场,1364005,
0,成都,"何大河《Lily,Barry》2019巡演成都站",售票中,2019.12.01周日20:00,成都NUSPACE,968009,
0,成都,沙与微尘——旅行者十年双专场成都站,售票中,2019.12.20周五20:30,MAOlivehouse成都,2266025,
0,成都,2019“莫宰羊来啦”首专巡演成都站,售票中,2019.12.07周六20:30,成都CH8冇独空间·完美店,1078003,
0,成都,时间的声音——安尼西亚2019成都专场,售票中,2019.12.20周五20:30,乐空间YueSpace(原正火艺术中心6号馆),92886,
0,成都,赵照“观照”2019新专辑巡演成都站,售票中,2019.11.30周六20:30,MAOlivehouse成都,2266025,
0,成都,乐队的夏天HOT巡演成都站,售票中,2019.12.14周六19:30,五粮液成都金融城演艺中心,92393,
0,成都,TroyeSivan特洛伊·希梵：盛放巡演2019成都站,售票中,2019.11.3019:30,五粮液成都金融城演艺中心,92393,
0,成都,黎明Metro2.0巡回演唱会-成都站,售票中,2019.12.07周六19:30,五粮液成都金融城演艺中心,92393,
0,成都,LukeThompson2019巡回0,售票中,2019.12.07周六19:30,乐空间YueSpace(原正火艺术中心6号馆),92886,
0,成都,小野丽莎“浪漫拾光”成都0,售票中,2019.12.19周四19:30,四川大剧院大剧场,1809004,
